ilx,label,definition,comment,type,status,synonyms,existing_ids,superclasses,ancestors,relationships,annotations,ontologies
ilx_0770296,Medial preoptic nucleus (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770296', 'iri': 'http://uri.interlex.org/base/ilx_0770296', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770296', 'term_label': 'Medial preoptic nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma67890'}, {'term_ilx': 'ilx_0770296', 'term_label': 'Medial preoptic nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/swanson/uris/neuroanatomical-terminology/terms/226'}, {'term_ilx': 'ilx_0770296', 'term_label': 'Medial preoptic nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/mouse/labels/537'}, {'term_ilx': 'ilx_0770296', 'term_label': 'Medial preoptic nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://api.brain-map.org/api/v2/data/Structure/515'}, {'term_ilx': 'ilx_0770296', 'term_label': 'Medial preoptic nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0002035'}, {'term_ilx': 'ilx_0770296', 'term_label': 'Medial preoptic nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/rat/labels/576'}, {'term_ilx': 'ilx_0770296', 'term_label': 'Medial preoptic nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_706'}]",[]
ilx_0770387,Ventral tegmental nucleus (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770387', 'iri': 'http://uri.interlex.org/base/ilx_0770387', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770387', 'term_label': 'Ventral tegmental nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/rat/labels/1026'}, {'term_ilx': 'ilx_0770387', 'term_label': 'Ventral tegmental nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://api.brain-map.org/api/v2/data/Structure/757'}, {'term_ilx': 'ilx_0770387', 'term_label': 'Ventral tegmental nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_1421'}, {'term_ilx': 'ilx_0770387', 'term_label': 'Ventral tegmental nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma72435'}, {'term_ilx': 'ilx_0770387', 'term_label': 'Ventral tegmental nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/berman/uris/cat/labels/200'}, {'term_ilx': 'ilx_0770387', 'term_label': 'Ventral tegmental nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0002438'}, {'term_ilx': 'ilx_0770387', 'term_label': 'Ventral tegmental nucleus (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/mouse/labels/976'}]",[]
ilx_0770490,trapezoid body (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770490', 'iri': 'http://uri.interlex.org/base/ilx_0770490', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770490', 'term_label': 'trapezoid body (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://api.brain-map.org/api/v2/data/Structure/841'}, {'term_ilx': 'ilx_0770490', 'term_label': 'trapezoid body (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_707'}, {'term_ilx': 'ilx_0770490', 'term_label': 'trapezoid body (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/swanson/uris/neuroanatomical-terminology/terms/569'}, {'term_ilx': 'ilx_0770490', 'term_label': 'trapezoid body (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/berman/uris/cat/labels/190'}, {'term_ilx': 'ilx_0770490', 'term_label': 'trapezoid body (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/rat/labels/974'}, {'term_ilx': 'ilx_0770490', 'term_label': 'trapezoid body (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0002932'}, {'term_ilx': 'ilx_0770490', 'term_label': 'trapezoid body (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma72487'}, {'term_ilx': 'ilx_0770490', 'term_label': 'trapezoid body (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.interlex.org/paxinos/uris/mouse/labels/928'}]",[]
ilx_0770481,dentatothalamic tract (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770481', 'iri': 'http://uri.interlex.org/base/ilx_0770481', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770481', 'term_label': 'dentatothalamic tract (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0002594'}, {'term_ilx': 'ilx_0770481', 'term_label': 'dentatothalamic tract (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_1104'}, {'term_ilx': 'ilx_0770481', 'term_label': 'dentatothalamic tract (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma72462'}]",[]
ilx_0770606,Outflow part of left ventricle (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770606', 'iri': 'http://uri.interlex.org/base/ilx_0770606', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770606', 'term_label': 'Outflow part of left ventricle (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma9473'}, {'term_ilx': 'ilx_0770606', 'term_label': 'Outflow part of left ventricle (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0005956'}]",[]
ilx_0770641,dorsomedial subnucleus of solitary tract (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770641', 'iri': 'http://uri.interlex.org/base/ilx_0770641', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770641', 'term_label': 'dorsomedial subnucleus of solitary tract (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0026541'}, {'term_ilx': 'ilx_0770641', 'term_label': 'dorsomedial subnucleus of solitary tract (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_1799'}]",[]
ilx_0770617,Vestibulocerebellar tract (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770617', 'iri': 'http://uri.interlex.org/base/ilx_0770617', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770617', 'term_label': 'Vestibulocerebellar tract (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://uri.neuinfo.org/nif/nifstd/birnlex_1009'}, {'term_ilx': 'ilx_0770617', 'term_label': 'Vestibulocerebellar tract (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0002552'}, {'term_ilx': 'ilx_0770617', 'term_label': 'Vestibulocerebellar tract (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma72508'}]",[]
ilx_0770625,superior branch of oculomotor nerve (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770625', 'iri': 'http://uri.interlex.org/base/ilx_0770625', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770625', 'term_label': 'superior branch of oculomotor nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0015162'}, {'term_ilx': 'ilx_0770625', 'term_label': 'superior branch of oculomotor nerve (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma52572'}]",[]
ilx_0770737,Submucosa of jejunum (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770737', 'iri': 'http://uri.interlex.org/base/ilx_0770737', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770737', 'term_label': 'Submucosa of jejunum (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0003333'}, {'term_ilx': 'ilx_0770737', 'term_label': 'Submucosa of jejunum (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma14950'}]",[]
ilx_0770825,Mucosa of terminal bronchiole (TermSet),,,TermSet,0,[],"[{'curie': 'ILX:0770825', 'iri': 'http://uri.interlex.org/base/ilx_0770825', 'preferred': '1'}]",[],[],[],"[{'term_ilx': 'ilx_0770825', 'term_label': 'Mucosa of terminal bronchiole (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.org/sig/ont/fma/fma263232'}, {'term_ilx': 'ilx_0770825', 'term_label': 'Mucosa of terminal bronchiole (TermSet)', 'annotation_term_ilx': 'ilx_0381360', 'annotation_term_label': 'hasDbXref', 'value': 'http://purl.obolibrary.org/obo/UBERON_0005040'}]",[]
